# Per-box recognition accuracy vs IoU decile (40-epoch recognizer, RTMDet-M boxes, IoU>=0.5 matched detections).
# Overall columns reproduce results/diagnostics/box_quality_analysis/recog_vs_quality.csv (metric=iou) exactly; group columns are recomputed from results/diagnostics/box_quality_test.jsonl with the same decile edges. constellation = {psk,ask,qam}; spectral = all other families.
decile,edge_lo,edge_hi,n,recog_acc,wilson_lo,wilson_hi,n_constellation,acc_constellation,n_spectral,acc_spectral,frac_constellation
0,0.50001,0.63478,13531,0.27618,0.26871,0.28378,3341,0.18797,10190,0.3051,0.2469
1,0.63478,0.81484,13541,0.40204,0.39381,0.41032,3375,0.16622,10166,0.48033,0.2492
2,0.81484,0.89886,13558,0.45316,0.44480,0.46156,4918,0.26027,8640,0.56296,0.3627
3,0.89886,0.92954,13537,0.38783,0.37965,0.39606,6334,0.2545,7203,0.50507,0.4679
4,0.92954,0.94763,13530,0.37051,0.36241,0.37868,6549,0.27775,6981,0.45753,0.484
5,0.94763,0.95938,13535,0.39468,0.38648,0.40294,7305,0.33361,6230,0.46629,0.5397
6,0.95938,0.96891,13569,0.38846,0.38029,0.39669,7186,0.35291,6383,0.42848,0.5296
7,0.96891,0.97694,13539,0.35121,0.34321,0.35929,6833,0.32343,6706,0.37951,0.5047
8,0.97694,0.98455,13529,0.36292,0.35486,0.37106,6577,0.3716,6952,0.35472,0.4861
9,0.98455,0.99903,13565,0.29053,0.28295,0.29823,6839,0.32125,6726,0.25929,0.5042
