snr,bayes_acc,source,ci95
-20,0.155652,tier_e_exact,0.001589
-18,0.164182,tier_e_exact,0.001624
-16,0.176293,tier_e_exact,0.00167
-14,0.194963,tier_e_exact,0.001736
-12,0.226393,tier_e_exact,0.001834
-10,0.269469,tier_e_exact,0.001945
-8,0.3358,tier_e_exact,0.00207
-6,0.427031,tier_e_exact,0.002168
-4,0.524803,tier_e_exact,0.002189
-2,0.606669,tier_e_exact,0.002141
0,0.67604,tier_e_exact,0.002051
2,0.761691,tier_e_exact,0.001867
4,0.848183,tier_e_exact,0.001573
6,0.891478,tier_e_exact,0.001363
8,0.914554,tier_e_exact,0.001225
10,0.961429,sis_certified,0.008236
12,0.995714,sis_certified,0.002794
14,0.998571,sis_certified,0.001615
16,0.999524,sis_certified,0.000933
18,1.0,sis_certified,0.0
