snr,acc_factorized,acc_sis,e_max_posterior_sis,min_ess,n_frames,ci95
-20,0.170000,0.165714,0.156508,0.9778,2100,0.015903
-18,0.161429,0.160952,0.163635,0.9660,2100,0.015718
-16,0.176190,0.175714,0.177334,0.9456,2100,0.016278
-14,0.202857,0.201429,0.197127,0.9195,2100,0.017154
-12,0.225714,0.222381,0.222952,0.8688,2100,0.017786
-10,0.270476,0.268095,0.272752,0.8128,2100,0.018946
-8,0.338095,0.339048,0.339975,0.7211,2100,0.020247
-6,0.416190,0.409524,0.423352,0.5979,2100,0.021032
-4,0.512381,0.510000,0.525485,0.4831,2100,0.021381
-2,0.624762,0.614762,0.613506,0.3390,2100,0.020814
0,0.667619,0.670476,0.684248,0.2518,2100,0.020104
2,0.756667,0.763333,0.766643,0.1541,2100,0.018179
4,0.841905,0.841905,0.861645,0.0957,2100,0.015604
6,0.890952,0.887619,0.898092,0.0755,2100,0.013508
8,0.912381,0.918095,0.928052,0.0602,2100,0.011729
10,0.949524,0.961429,0.967408,0.0492,2100,0.008236
12,0.978571,0.995714,0.997286,0.0394,2100,0.002794
14,0.989048,0.998571,0.999824,0.0343,2100,0.001615
16,0.982381,0.999524,1.000000,0.0237,2100,0.000933
18,0.977619,1.000000,1.000000,0.0152,2100,0.000000
