snr,bayes_acc,e_max_posterior,n_frames,ci95
-20,0.155652,0.156240,199997,0.001589
-18,0.164182,0.163898,199997,0.001624
-16,0.176293,0.176080,199997,0.001670
-14,0.194963,0.195202,199997,0.001736
-12,0.226393,0.224947,199997,0.001834
-10,0.269469,0.270471,199997,0.001945
-8,0.335800,0.336408,199997,0.002070
-6,0.427031,0.425819,199997,0.002168
-4,0.524803,0.524766,199997,0.002189
-2,0.606669,0.607901,199997,0.002141
0,0.676040,0.676045,199997,0.002051
2,0.761691,0.762526,199997,0.001867
4,0.848183,0.849622,199997,0.001573
6,0.891478,0.894617,199997,0.001363
8,0.914554,0.924509,199997,0.001225
10,0.952299,0.967009,199997,0.000934
12,0.980070,0.993847,199997,0.000613
14,0.985290,0.998531,199997,0.000528
16,0.984005,0.999308,199997,0.000550
18,0.979250,0.999561,199997,0.000625
